Index,AirportID,City,Country,Latitude,Longitude,Timezone
95,Ottawa / Gatineau Airport,Gatineau,Canada,45.52170181,-75.56359863,-5
96,Matagami Airport,Matagami,Canada,49.76169968,-77.80280304,-5
97,Old Crow Airport,Old Crow,Canada,67.57060242,-139.8390045,-8
98,CFB Cold Lake,Cold Lake,Canada,54.40499878,-110.2789993,-7
99,High Level Airport,High Level,Canada,58.62139893,-117.1650009,-7
100,Ottawa Macdonald-Cartier International Airport,Ottawa,Canada,45.32249832,-75.66919708,-5
101,Prince Albert Glass Field,Prince Albert,Canada,53.21419907,-105.6729965,-6
102,Peace River Airport,Peace River,Canada,56.226898,-117.446999,-7
103,Southport Airport,Portage-la-prairie,Canada,49.903099,-98.273817,-6
104,Pitt Meadows Airport,Pitt Meadows,Canada,49.21609879,-122.7099991,-8
105,Pickle Lake Airport,Pickle Lake,Canada,51.44639969,-90.21420288,-5
106,Port Menier Airport,Port Menier,Canada,49.83639908,-64.28859711,-5
107,Peterborough Airport,Peterborough,Canada,44.22999954,-78.36329651,-5
108,Prince Rupert Airport,Prince Pupert,Canada,54.28609848,-130.4450073,-8
109,Fort Chipewyan Airport,Fort Chipewyan,Canada,58.76720047,-111.1169968,-7
110,Muskoka Airport,Muskoka,Canada,44.97470093,-79.30329895,-5
111,Quebec Jean Lesage International Airport,Quebec,Canada,46.7911,-71.393303,-5
112,Red Deer Regional Airport,Red Deer Industrial,Canada,52.18220139,-113.8939972,-7
113,Windsor Airport,Windsor,Canada,42.27560043,-82.95559692,-5
114,Watson Lake Airport,Watson Lake,Canada,60.11640167,-128.8220062,-8
115,Kenora Airport,Kenora,Canada,49.78829956,-94.36309814,-6
116,Lethbridge County Airport,Lethbridge,Canada,49.63029861,-112.8000031,-7
117,Greater Moncton International Airport,Moncton,Canada,46.11220169,-64.6785965,-4
119,Comox Airport,Comox,Canada,49.71080017,-124.887001,-8
120,Regina International Airport,Regina,Canada,50.43190002,-104.6660004,-6
121,Thunder Bay Airport,Thunder Bay,Canada,48.37189865,-89.32389832,-5
122,Grande Prairie Airport,Grande Prairie,Canada,55.17969894,-118.8850021,-7
123,Yorkton Municipal Airport,Yorkton,Canada,51.26470184,-102.461998,-6
124,North Battleford Airport,North Battleford,Canada,52.76919937,-108.2440033,-6
125,Gander International Airport,Gander,Canada,48.93690109,-54.56809998,-3.5
126,Sydney / J.A. Douglas McCurdy Airport,Sydney,Canada,46.1614,-60.047798,-4
127,Quesnel Airport,Quesnel,Canada,53.02610016,-122.5100021,-8
128,Resolute Bay Airport,Resolute,Canada,74.71690369,-94.9693985,-6
129,Rivière-du-Loup Airport,Riviere Du Loup,Canada,47.76440048,-69.58470154,-5
130,Roberval Airport,Roberval,Canada,48.52000046,-72.26560211,-5
131,Rocky Mountain House Airport,Rocky Mountain House,Canada,52.42969894,-114.9039993,-7
132,Rankin Inlet Airport,Rankin Inlet,Canada,62.81140137,-92.11579895,-6
133,Sudbury Airport,Sudbury,Canada,46.625,-80.79889679,-5
134,Sherbrooke Airport,Sherbrooke,Canada,45.43859863,-71.69139862,-5
135,Saint John Airport,St. John,Canada,45.31610107,-65.89029694,-4
136,Fort Smith Airport,Fort Smith,Canada,60.02030182,-111.961998,-7
137,Nanisivik Airport,Nanisivik,Canada,72.982201,-84.613602,-5
138,Summerside Airport,Summerside,Canada,46.44060135,-63.83359909,-4
139,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Sachs Harbour,Canada,71.99389648,-125.2429962,-7
140,Cape Dorset Airport,Cape Dorset,Canada,64.23000336,-76.52670288,-5
141,Thompson Airport,Thompson,Canada,55.80110168,-97.86419678,-6
142,CFB Trenton,Trenton,Canada,44.1189003,-77.52809906,-5
143,Timmins/Victor M. Power,Timmins,Canada,48.56969833,-81.37670136,-5
144,Billy Bishop Toronto City Centre Airport,Toronto,Canada,43.627499,-79.396202,-5
145,Tuktoyaktuk Airport,Tuktoyaktuk,Canada,69.4332962,-133.026001,-7
146,Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,45.47060013,-73.74079895,-5
147,Repulse Bay Airport,Repulse Bay,Canada,66.52140045,-86.22470093,-6
148,Hall Beach Airport,Hall Beach,Canada,68.77610016,-81.2425,-5
149,Rouyn Noranda Airport,Rouyn,Canada,48.20610046,-78.83560181,-5
150,La Ronge Airport,La Ronge,Canada,55.15140152,-105.262001,-6
151,Vermilion Airport,Vermillion,Canada,53.35580063,-110.8239975,-7
152,Qikiqtarjuaq Airport,Broughton Island,Canada,67.54579926,-64.03140259,-5
153,Val-d'Or Airport,Val D'or,Canada,48.05329895,-77.78279877,-5
154,Kuujjuaq Airport,Quujjuaq,Canada,58.09609985,-68.42690277,-5
155,Norman Wells Airport,Norman Wells,Canada,65.28160095,-126.7979965,-7
156,Vancouver International Airport,Vancouver,Canada,49.19390106,-123.1839981,-8
157,Buffalo Narrows Airport,Buffalo Narrows,Canada,55.84189987,-108.4179993,-6
158,Wiarton Airport,Wiarton,Canada,44.7458,-81.107201,-5
159,Petawawa Airport,Petawawa,Canada,45.95220184,-77.31919861,-5
160,Winnipeg / James Armstrong Richardson International Airport,Winnipeg,Canada,49.90999985,-97.23989868,-6
161,Wabush Airport,Wabush,Canada,52.9219017,-66.86440277,-4
162,Williams Lake Airport,Williams Lake,Canada,52.18310165,-122.0540009,-8
163,Wrigley Airport,Wrigley,Canada,63.20940018,-123.4369965,-7
164,Cranbrook/Canadian Rockies International Airport,Cranbrook,Canada,49.6108017,-115.7819977,-7
165,Edmonton City Centre (Blatchford Field) Airport,Edmonton,Canada,53.57249832,-113.5210037,-7
166,Saskatoon John G. Diefenbaker International Airport,Saskatoon,Canada,52.17079926,-106.6999969,-6
167,Medicine Hat Airport,Medicine Hat,Canada,50.01890182,-110.7210007,-7
168,Fort St John Airport,Fort Saint John,Canada,56.23809814,-120.7399979,-7
169,Sioux Lookout Airport,Sioux Lookout,Canada,50.11389923,-91.90529633,-6
170,Pangnirtung Airport,Pangnirtung,Canada,66.14499664,-65.71360016,-5
171,Earlton (Timiskaming Regional) Airport,Earlton,Canada,47.69740065,-79.84734535,-5
172,Prince George Airport,Prince George,Canada,53.88940048,-122.6790009,-8
173,Northwest Regional Airport Terrace-Kitimat,Terrace,Canada,54.468498,-128.576009,-8
174,London Airport,London,Canada,43.035599,-81.1539,-5
175,Abbotsford Airport,Abbotsford,Canada,49.02529907,-122.3610001,-8
176,Whitehorse / Erik Nielsen International Airport,Whitehorse,Canada,60.70959854,-135.0670013,-8
177,North Bay Jack Garland Airport,North Bay,Canada,46.363602,-79.422798,-5
178,Calgary International Airport,Calgary,Canada,51.11389923,-114.0199966,-7
179,Smithers Airport,Smithers,Canada,54.8246994,-127.1829987,-8
180,Fort Nelson Airport,Fort Nelson,Canada,58.83639908,-122.5970001,-8
181,Penticton Airport,Penticton,Canada,49.46310043,-119.6019974,-8
182,Charlottetown Airport,Charlottetown,Canada,46.29000092,-63.12110138,-4
183,Taloyoak Airport,Spence Bay,Canada,69.54669952,-93.5766983,-7
184,Victoria International Airport,Victoria,Canada,48.64690018,-123.4260025,-8
185,Lynn Lake Airport,Lynn Lake,Canada,56.86389923,-101.0759964,-6
186,Swift Current Airport,Swift Current,Canada,50.29190063,-107.6910019,-6
187,Churchill Airport,Churchill,Canada,58.73920059,-94.06500244,-6
188,Goose Bay Airport,Goose Bay,Canada,53.31919861,-60.42580032,-4
189,St. John's International Airport,St. John's,Canada,47.61859894,-52.75189972,-3.5
190,Kapuskasing Airport,Kapuskasing,Canada,49.41389847,-82.46749878,-5
191,Armstrong Airport,Armstrong,Canada,50.29029846,-88.90969849,-5
192,Mont Joli Airport,Mont Joli,Canada,48.60860062,-68.20809937,-5
193,Lester B. Pearson International Airport,Toronto,Canada,43.67720032,-79.63059998,-5
194,Downsview Airport,Toronto,Canada,43.74250031,-79.46559906,-5
195,Gore Bay Manitoulin Airport,Gore Bay,Canada,45.88529968,-82.56780243,-5
196,Yellowknife Airport,Yellowknife,Canada,62.46279907,-114.4400024,-7
197,Slave Lake Airport,Slave Lake,Canada,55.29309845,-114.7770004,-7
198,Sandspit Airport,Sandspit,Canada,53.25429916,-131.8139954,-8
199,Chris Hadfield Airport,Sarnia,Canada,42.99940109,-82.30889893,-5
200,Port Hardy Airport,Port Hardy,Canada,50.68059921,-127.3669968,-8
201,Whitecourt Airport,Whitecourt,Canada,54.14390182,-115.7870026,-7
202,Sept-Îles Airport,Sept-iles,Canada,50.22330093,-66.26560211,-5
203,Teslin Airport,Teslin,Canada,60.17279816,-132.7429962,-8
204,CFB Greenwood,Greenwood,Canada,44.9844017,-64.91690063,-4
205,Faro Airport,Faro,Canada,62.20750046,-133.3760071,-8
206,Fort Mcpherson Airport,Fort Mcpherson,Canada,67.40750122,-134.8609924,-7
207,Blida Airport,Blida,Algeria,36.50360107,2.814169884,1
208,Bou Saada Airport,Bou Saada,Algeria,35.33250046,4.206389904,1
209,Soummam Airport,Bejaja,Algeria,36.7120018,5.069920063,1
210,Houari Boumediene Airport,Algier,Algeria,36.69100189,3.215409994,1
211,Djanet Inedbirene Airport,Djanet,Algeria,24.292801,9.45244,1
212,Boufarik Airport,Boufarik,Algeria,36.545799,2.87611,1
213,Reggane Airport,Reggan,Algeria,26.7101,0.285647,1
214,Illizi Takhamalt Airport,Illizi,Algeria,26.7234993,8.622650146,1
215,Ain Oussera Airport,Ain Oussera,Algeria,35.52539825,2.878710032,1
216,Aguenar – Hadj Bey Akhamok Airport,Tamanrasset,Algeria,22.81150055,5.451079845,1
217,Jijel Ferhat Abbas Airport,Jijel,Algeria,36.79510117,5.87361002,1
218,Mecheria Airport,Mecheria,Algeria,33.53590012,-0.242353007,1
219,Relizane Airport,Relizane,Algeria,35.752201,0.626272,1
220,Rabah Bitat Airport,Annaba,Algeria,36.822201,7.809174,1
221,Mohamed Boudiaf International Airport,Constantine,Algeria,36.27600098,6.620389938,1
222,Cheikh Larbi Tébessi Airport,Tebessa,Algeria,35.43159866,8.12071991,1
224,Hassi R'Mel Airport,Tilrempt,Algeria,32.93040085,3.311539888,1
225,Bou Chekif Airport,Tiaret,Algeria,35.34109879,1.463150024,1
226,Bou Sfer Airport,Bou Sfer,Algeria,35.73540115,-0.805388987,1
227,Tindouf Airport,Tindouf,Algeria,27.7003994,-8.167099953,1
228,Ech Cheliff Airport,Ech-cheliff,Algeria,36.21269989,1.331769943,1
229,Tafaraoui Airport,Oran,Algeria,35.54240036,-0.532278001,1
230,Zenata – Messali El Hadj Airport,Tlemcen,Algeria,35.01670074,-1.450000048,1
231,Es Senia Airport,Oran,Algeria,35.62390137,-0.621182978,1
232,Sidi Bel Abbes Airport,Sidi Bel Abbes,Algeria,35.17179871,-0.593275011,1
233,Ghriss Airport,Ghriss,Algeria,35.20769882,0.147141993,1
234,Touat Cheikh Sidi Mohamed Belkebir Airport,Adrar,Algeria,27.83760071,-0.186414003,1
235,Biskra Airport,Biskra,Algeria,34.79330063,5.738230228,1
236,El Golea Airport,El Golea,Algeria,30.57130051,2.859590054,1
237,Noumérat - Moufdi Zakaria Airport,Ghardaia,Algeria,32.38410187,3.79411006,1
238,Oued Irara Airport,Hassi Messaoud,Algeria,31.67300034,6.140439987,1
239,In Salah Airport,In Salah,Algeria,27.25099945,2.512020111,1
240,Touggourt Sidi Madhi Airport,Touggourt,Algeria,33.06779861,6.088669777,1
241,Laghouat Airport,Laghouat,Algeria,33.76440048,2.928339958,1
242,Timimoun Airport,Timimoun,Algeria,29.2371006,0.276033014,1
243,Ain el Beida Airport,Ouargla,Algeria,31.91720009,5.412779808,1
244,In Aménas Airport,Zarzaitine,Algeria,28.0515,9.64291,1
245,Cadjehoun Airport,Cotonou,Benin,6.357230186,2.384350061,1
246,Ouagadougou Airport,Ouagadougou,Burkina Faso,12.3532,-1.51242,0
247,Bobo Dioulasso Airport,Bobo-dioulasso,Burkina Faso,11.16009998,-4.33096981,0
248,Kotoka International Airport,Accra,Ghana,5.6051898,-0.166786,0
249,Tamale Airport,Tamale,Ghana,9.557189941,-0.863214016,0
250,Wa Airport,Wa,Ghana,10.08269978,-2.507689953,0
251,Sunyani Airport,Sunyani,Ghana,7.361830235,-2.328759909,0
252,Takoradi Airport,Takoradi,Ghana,4.89605999,-1.774760008,0
253,Port Bouet Airport,Abidjan,Cote d'Ivoire,5.261390209,-3.926290035,0
254,Bouaké Airport,Bouake,Cote d'Ivoire,7.738800049,-5.07366991,0
255,Daloa Airport,Daloa,Cote d'Ivoire,6.792809963,-6.473189831,0
256,Korhogo Airport,Korhogo,Cote d'Ivoire,9.387180328,-5.556660175,0
257,Man Airport,Man,Cote d'Ivoire,7.272069931,-7.587359905,0
258,San Pedro Airport,San Pedro,Cote d'Ivoire,4.746719837,-6.660820007,0
259,Yamoussoukro Airport,Yamoussoukro,Cote d'Ivoire,6.903170109,-5.365580082,0
260,Nnamdi Azikiwe International Airport,Abuja,Nigeria,9.006790161,7.263169765,1
261,Akure Airport,Akure,Nigeria,7.246739864,5.301010132,1
262,Benin Airport,Benin,Nigeria,6.316979885,5.599500179,1
263,Margaret Ekpo International Airport,Calabar,Nigeria,4.976019859,8.347200394,1
264,Akanu Ibiam International Airport,Enugu,Nigeria,6.474269867,7.56196022,1
265,Gusau Airport,Gusau,Nigeria,12.1717,6.69611,1
266,Ibadan Airport,Ibadan,Nigeria,7.362460136,3.978329897,1
267,Ilorin International Airport,Ilorin,Nigeria,8.440210342,4.493919849,1
268,Yakubu Gowon Airport,Jos,Nigeria,9.639829636,8.869050026,1
269,Kaduna Airport,Kaduna,Nigeria,10.6960001,7.320109844,1
270,Mallam Aminu International Airport,Kano,Nigeria,12.0476,8.52462,1
271,Maiduguri International Airport,Maiduguri,Nigeria,11.85529995,13.08090019,1
272,Makurdi Airport,Makurdi,Nigeria,7.70388,8.61394,1
273,Murtala Muhammed International Airport,Lagos,Nigeria,6.577370167,3.321160078,1
274,Minna Airport,Minna,Nigeria,9.652170181,6.462259769,1
275,Port Harcourt International Airport,Port Hartcourt,Nigeria,5.015490055,6.949590206,1
276,Sadiq Abubakar III International Airport,Sokoto,Nigeria,12.91629982,5.207190037,1
277,Yola Airport,Yola,Nigeria,9.25755024,12.43039989,1
278,Zaria Airport,Zaria,Nigeria,11.1302,7.68581,1
279,Maradi Airport,Maradi,Niger,13.50249958,7.126749992,1
280,Diori Hamani International Airport,Niamey,Niger,13.4815,2.18361,1
281,Tahoua Airport,Tahoua,Niger,14.8757,5.265359879,1
282,Mano Dayak International Airport,Agadez,Niger,16.9659996,8.000109673,1
283,Dirkou Airport,Dirkou,Niger,18.96870041,12.86870003,1
284,Diffa Airport,Diffa,Niger,13.37290001,12.6267004,1
285,Zinder Airport,Zinder,Niger,13.77900028,8.98375988,1
286,Monastir Habib Bourguiba International Airport,Monastir,Tunisia,35.7580986,10.75469971,1
287,Tunis Carthage International Airport,Tunis,Tunisia,36.85100174,10.22719955,1
288,Sidi Ahmed Air Base,Bizerte,Tunisia,37.245398,9.79145,1
289,Remada Air Base,Remada,Tunisia,32.30619812,10.38210011,1
290,Gafsa Ksar International Airport,Gafsa,Tunisia,34.42200089,8.822500229,1
291,Gabès Matmata International Airport,Gabes,Tunisia,33.87689972,10.10330009,1
292,Borj El Amri Airport,Bordj El Amri,Tunisia,36.72129822,9.943149567,1
293,Djerba Zarzis International Airport,Djerba,Tunisia,33.875,10.7755003,1
294,El Borma Airport,El Borma,Tunisia,31.70429993,9.254619598,1
295,Sfax Thyna International Airport,Sfax,Tunisia,34.7179985,10.69099998,1
296,Tozeur Nefta International Airport,Tozeur,Tunisia,33.93970108,8.110560417,1
297,Niamtougou International Airport,Niatougou,Togo,9.76733017,1.091249943,0
298,Lomé-Tokoin Airport,Lome,Togo,6.165609837,1.254510045,0
299,Antwerp International Airport (Deurne),Antwerp,Belgium,51.18939972,4.460279942,1
300,Beauvechain Air Base,Beauvechain,Belgium,50.75859833,4.768330097,1
301,Kleine Brogel Air Base,Kleine Brogel,Belgium,51.168301,5.47,1
302,Brussels Airport,Brussels,Belgium,50.90140152,4.48443985,1
303,Jehonville Air Base,Bertrix,Belgium,49.89170074,5.223889828,1
304,Brussels South Charleroi Airport,Charleroi,Belgium,50.459202,4.45382,1
305,Chièvres Air Base,Chievres,Belgium,50.57580185,3.83100009,1
306,Koksijde Air Base,Koksijde,Belgium,51.09030151,2.652780056,1
307,Florennes Air Base,Florennes,Belgium,50.24330139,4.645830154,1
308,Wevelgem Airport,Kortrijk-vevelgem,Belgium,50.81719971,3.20472002,1
309,Liège Airport,Liege,Belgium,50.63740158,5.443220139,1
310,Ostend-Bruges International Airport,Ostend,Belgium,51.19889832,2.862220049,1
311,Zutendaal Air Base,Zutendaal,Belgium,50.94749832,5.590559959,1
312,Brustem Airfield Sint Truiden,Sint-truiden,Belgium,50.791901,5.20167,1
313,Saint Hubert Air Base,St.-hubert,Belgium,50.03440094,5.440810204,1
314,Ursel Air Base,Ursel,Belgium,51.14419937,3.47555995,1
315,Weelde Air Base,Weelde,Belgium,51.39479828,4.960189819,1
316,Zoersel (Oostmalle) Airfield,Zoersel,Belgium,51.264702,4.75333,1
317,Flugplatz Bautzen,Bautzen,Germany,51.193611,14.519722,1
318,Altenburg-Nobitz Airport,Altenburg,Germany,50.981945,12.506389,1
319,Dessau Airfield,Dessau,Germany,51.831694,12.190962,1
320,Eisenhüttenstadt Airfield,Eisenhuettenstadt,Germany,52.195856,14.58753,1
322,Großenhain Airport,Suhl,Germany,51.30805588,13.5555563,1
323,Merseburg Airport,Muehlhausen,Germany,51.3630556,11.9408333,1
324,Halle-Oppin Airport,Halle,Germany,51.552223,12.053889,1
325,Riesa-Göhlis Airport,Riesa,Germany,51.29360962,13.35611057,1
326,Rechlin-Lärz Airport,Rechlin-laerz,Germany,53.30638886,12.75222206,1
327,Strausberg Airport,Strausberg,Germany,52.58055496,13.91666698,1
328,Schönhagen Airport,Schoenhagen,Germany,52.203609,13.156389,1
329,Barth Airport,Barth,Germany,54.338253,12.710515,1
330,Jena-Schöngleina Airfield,Jena,Germany,50.915279,11.714444,1
331,Kyritz Airport,Kyritz,Germany,52.91888809,12.42527771,1
332,"Magdeburg ""City"" Airport",Magdeburg,Germany,52.073612,11.626389,1
333,Rothenburg/Görlitz Airport,Rothenburg/ol,Germany,51.36333466,14.94999981,1
334,Anklam Airfield,Anklam,Germany,53.832779,13.668611,1
335,Cottbus-Drewitz Airport,Cottbus,Germany,51.889442,14.531944,1
336,Kamenz Airport,Kamenz,Germany,51.29694366,14.12749958,1
337,Berlin-Schönefeld Airport,Berlin,Germany,52.380001,13.5225,1
338,Dresden Airport,Dresden,Germany,51.13280106,13.76720047,1
339,Erfurt Airport,Erfurt,Germany,50.97980118,10.95810032,1
340,Frankfurt am Main Airport,Frankfurt,Germany,50.033333,8.570556,1
341,Münster Osnabrück Airport,Munster,Germany,52.13460159,7.684830189,1
342,Hamburg Airport,Hamburg,Germany,53.63040161,9.988229752,1
343,Berlin-Tempelhof International Airport,Berlin,Germany,52.47299957,13.40390015,1
344,Cologne Bonn Airport,Cologne,Germany,50.86589813,7.142739773,1
345,Düsseldorf Airport,Duesseldorf,Germany,51.289501,6.76678,1
346,Munich Airport,Munich,Germany,48.353802,11.7861,1
347,Nuremberg Airport,Nuernberg,Germany,49.498699,11.078056,1
348,Leipzig/Halle Airport,Leipzig,Germany,51.423889,12.236389,1
349,Saarbrücken Airport,Saarbruecken,Germany,49.21459961,7.109509945,1
350,Stuttgart Airport,Stuttgart,Germany,48.68989944,9.221960068,1
351,Berlin-Tegel Airport,Berlin,Germany,52.5597,13.2877,1
352,Hannover Airport,Hannover,Germany,52.46110153,9.685079575,1
353,Bremen Airport,Bremen,Germany,53.04750061,8.786669731,1
354,Frankfurt-Egelsbach Airport,Egelsbach,Germany,49.959999,8.645833,1
355,Frankfurt-Hahn Airport,Hahn,Germany,49.9487,7.26389,1
356,Mannheim-City Airport,Mannheim,Germany,49.473057,8.514167,1
357,Allendorf/Eder Airport,Allendorf,Germany,51.03499985,8.680832863,1
358,Worms Airport,Worms,Germany,49.606945,8.368333,1
359,Mainz-Finthen Airport,Mainz,Germany,49.967499,8.147222,1
360,Eisenach-Kindel Airport,Eisenach,Germany,50.991604,10.47973,1
